Name,Type,Status,Link,Recommended by,Date finished,Notes,PARA,Tasks,Daily Page,Date added
The Untethered Soul: The Journey Beyond Yourself,Book,In progress,https://www.amazon.ca/Untethered-Soul-Journey-Beyond-Yourself/dp/1572245379,,,,,,,"November 3, 2025 12:01 PM"
Your Obsession With Productivity Is Killing Your Productivity,Podcast,Not started,https://www.artofaccomplishment.com/podcast/your-obsession-with-productivity-is-killing-your-productivity,,,,,,,"November 3, 2025 12:01 PM"
Bad Monkey,TV Series,In progress,https://tv.apple.com/ca/show/bad-monkey/umc.cmc.2qoep59s6qukjonprttysfs8x?mttn3pid=Google%20AdWords&mttnagencyid=a5e&mttncc=CA&mttnsiteid=143238&mttnsubad=OCA20191157_1-716437240951-c&mttnsubkw=168752939161__Q28DjyZ7_&mttnsubplmnt=_adext_,,,,,,,"November 3, 2025 12:01 PM"
How to Reset Your Digital Life (Real-Life Example and Coaching),YouTube video,Not started,https://www.youtube.com/watch?v=1cZaqHJ3fXw,,,,,,,"November 3, 2025 12:01 PM"
